Load,Actuator,Time,Strain
105.7002,7.597222,40.368,0.00506
106.0967,7.597222,40.434,0.005076
105.9438,7.604167,40.501,0.005098
105.0301,7.604167,40.568,0.005109
103.2564,7.604167,40.634,0.005099
101.6622,7.597222,40.701,0.005093
100.683,7.590278,40.768,0.005086
100.7296,7.590278,40.834,0.005084
101.6789,7.590278,40.901,0.00509
103.5848,7.597222,40.968,0.00511
105.3078,7.604167,41.034,0.005127
106.4721,7.611111,41.101,0.005157
106.5513,7.618056,41.168,0.005188
105.8826,7.618056,41.234,0.005203
104.2568,7.618056,41.301,0.005209
101.6566,7.611111,41.368,0.005192
99.96341,7.604167,41.434,0.005176
99.33193,7.597222,41.501,0.005175
99.76077,7.597222,41.568,0.005177
101.1119,7.597222,41.634,0.005184
102.9473,7.604167,41.701,0.005204
104.7056,7.611111,41.768,0.005221
105.8511,7.618056,41.834,0.005241
106.1322,7.625,41.901,0.00527
105.8608,7.625,41.968,0.00529
105.1673,7.625,42.034,0.005298
103.4073,7.625,42.101,0.005301
100.9348,7.618056,42.168,0.005283
99.48161,7.611111,42.234,0.005266
99.33726,7.611111,42.301,0.005268
99.80254,7.611111,42.368,0.005273
101.4338,7.611111,42.434,0.00528
103.6953,7.618056,42.501,0.005302
105.6564,7.631944,42.568,0.005331
106.4468,7.638889,42.634,0.005361
106.1536,7.638889,42.701,0.005392
105.2015,7.638889,42.768,0.005408
102.6579,7.638889,42.834,0.005392
99.65529,7.625,42.901,0.005371
98.24124,7.618056,42.968,0.005364
97.97292,7.618056,43.034,0.005359
98.39459,7.618056,43.101,0.005361
99.95227,7.618056,43.168,0.005376
102.2116,7.625,43.234,0.005391
104.3438,7.638889,43.301,0.005419
105.6874,7.645833,43.368,0.005439
105.877,7.645833,43.434,0.00546
105.7389,7.652778,43.501,0.005485
104.1588,7.652778,43.568,0.005488
101.9667,7.645833,43.634,0.005472
100.363,7.638889,43.701,0.005465
99.5433,7.631944,43.768,0.005456
99.90498,7.631944,43.834,0.005455
101.4029,7.631944,43.901,0.005473
103.2248,7.638889,43.968,0.005491
104.8777,7.645833,44.034,0.005503
105.978,7.652778,44.101,0.005532
106.013,7.659722,44.168,0.00556
105.5536,7.659722,44.234,0.005574
104.2373,7.659722,44.301,0.005585
101.6871,7.652778,44.368,0.005567
99.89484,7.645833,44.434,0.005549
99.31608,7.645833,44.501,0.005551
99.25807,7.645833,44.568,0.005549
